2024-02-22 17:06:58,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Ziad,ziadmazen770@gmail.com
2024-02-22 17:07:40,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Ziad,ziadmazen770@gmail.com
2024-02-22 17:08:38,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Ziad,ziadmazen770@gmail.com
2024-02-22 17:08:59,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Ziad,ziadmazen770@gmail.com
2024-02-22 17:10:39,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Ahmed,abc@xyz.com
2024-02-22 17:13:12,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Mazen,abc@xyz.com
2024-02-22 17:14:23,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Mazen,abc@xyz.com
2024-02-22 17:16:02,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Ahmed,ziadmazen770@gmail.com
2024-02-22 17:18:30,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Ahmed,abc@xyz.com
2024-02-22 17:20:40,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Mazen,abc@xyz.com
2024-02-22 17:28:49,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Ziad,ziadmazen770@gmail.com
2024-02-22 17:31:46,127.0.0.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0,Ziad,ziadmazen770@gmail.com
